instance,seed,delta_gap_ivns_minus_vns,delta_time_ivns_minus_vns
A-n33-k5,1,14.220878999999996,-0.022986
A-n33-k5,2,9.682297000000004,-0.143974
A-n33-k5,3,27.080183,-0.121043
A-n33-k5,4,-5.748856000000004,0.0290079999999999
A-n33-k5,5,17.549167999999995,-0.08903
A-n33-k5,6,4.538582000000005,-0.032011
A-n33-k5,7,0.1512910000000005,-0.051017
A-n33-k5,8,21.936454999999995,-0.0040029999999999
A-n33-k5,9,14.069592000000007,-0.1580519999999999
A-n33-k5,10,38.426625,-0.045014
A-n33-k5,11,24.205752999999994,-0.0830279999999999
A-n33-k5,12,22.84417,-0.0410129999999999
A-n33-k5,13,-5.143723000000001,-0.0500169999999999
A-n33-k5,14,-10.136158000000002,-0.153047
A-n33-k5,15,12.708015999999994,-0.0200069999999999
A-n33-k5,16,-5.900151000000001,0.0220049999999999
A-n33-k5,17,9.228446999999996,-0.06902
A-n33-k5,18,21.633884,-0.0820239999999999
A-n33-k5,19,0.3025710000000003,-0.1090329999999999
A-n33-k5,20,34.493191,-0.063018
A-n33-k5,21,13.918308999999994,-0.1290379999999999
A-n33-k5,22,18.759457,-0.059018
A-n33-k5,23,-16.490166000000002,-0.077021
A-n33-k5,24,11.19516,-0.142041
A-n33-k5,25,22.844176999999995,-0.162046
A-n33-k5,26,5.748863,-0.115033
A-n33-k5,27,6.202721000000004,-0.112031
A-n33-k5,28,-1.815429999999992,-0.14304
A-n33-k5,29,1.210281000000009,-0.089025
A-n33-k5,30,16.490166000000002,-0.0780229999999999
A-n65-k9,1,15.587738000000002,0.044011
A-n65-k9,2,28.279372999999996,0.070018
A-n65-k9,3,14.480423000000002,0.1580389999999999
A-n65-k9,4,1.8739319999999964,0.014003
A-n65-k9,5,12.350952000000008,0.067016
A-n65-k9,6,8.943786999999986,-0.0830219999999999
A-n65-k9,7,7.921645999999981,-0.0560149999999999
A-n65-k9,8,53.066445000000016,0.078018
A-n65-k9,9,22.06132500000001,0.0070009999999999
A-n65-k9,10,-10.391830999999996,-0.0560129999999999
A-n65-k9,11,11.243606,-0.082021
A-n65-k9,12,9.114151000000009,0.0330079999999999
A-n65-k9,13,24.87223899999998,0.0020009999999999
A-n65-k9,14,14.310043000000007,0.0570129999999999
A-n65-k9,15,-4.429306000000011,0.059014
A-n65-k9,16,28.194199,0.146032
A-n65-k9,17,-11.413971000000004,0.139031
A-n65-k9,18,4.940353000000016,0.0420089999999999
A-n65-k9,19,20.783646000000005,0.039008
A-n65-k9,20,17.717208999999997,0.036009
A-n65-k9,21,10.562180000000012,-0.010002
A-n65-k9,22,23.594551,0.078017
A-n65-k9,23,10.902892999999992,0.004
A-n65-k9,24,28.875641,0.1620309999999999
A-n65-k9,25,-8.347533999999996,0.0910169999999999
A-n65-k9,26,9.795562999999987,0.0630109999999999
A-n65-k9,27,2.470184000000017,0.0110019999999999
A-n65-k9,28,-0.851791999999989,0.073014
A-n65-k9,29,25.12776200000002,0.081015
A-n65-k9,30,24.787063000000018,0.018002
A-n80-k10,1,41.74702399999998,0.2440459999999999
A-n80-k10,2,0.9642640000000142,0.131024
A-n80-k10,3,-5.728873999999991,0.011001
A-n80-k10,4,16.732833999999997,0.073012
A-n80-k10,5,-1.7016530000000074,0.033005
A-n80-k10,6,8.394783000000004,0.111019
A-n80-k10,7,8.848557,0.05501
A-n80-k10,8,-13.953490999999984,0.227041
A-n80-k10,9,29.948958999999988,0.1690279999999999
A-n80-k10,10,-6.863295999999991,0.11902
A-n80-k10,11,26.09188100000001,0.1680269999999999
A-n80-k10,12,6.182647000000003,0.0940159999999999
A-n80-k10,13,-6.466262999999998,0.050007
A-n80-k10,14,12.138404999999992,0.2100329999999999
A-n80-k10,15,0.7940979999999911,0.1400219999999999
A-n80-k10,16,17.47021500000001,0.107017
A-n80-k10,17,5.275108000000003,0.110017
A-n80-k10,18,-5.672165000000007,0.164024
A-n80-k10,19,17.980706000000012,0.154024
A-n80-k10,20,15.65513700000001,0.148022
A-n80-k10,21,2.722625999999991,0.0760099999999999
A-n80-k10,22,2.439026000000013,0.126017
A-n80-k10,23,19.17186700000001,0.1100149999999999
A-n80-k10,24,-4.367553999999998,0.0410059999999999
A-n80-k10,25,8.508208999999994,0.190025
A-n80-k10,26,-7.884285000000005,0.101013
A-n80-k10,27,12.138382000000009,0.104014
A-n80-k10,28,6.352805999999987,0.07701
A-n80-k10,29,4.367554000000013,0.0089999999999999
A-n80-k10,30,20.70335399999999,0.2420299999999999
